@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
0.221476,0.102443,class_1
3.353144,0.08326,class_1
3.253903,0.085762,class_1
3.24325,0.083644,class_1
3.112312,0.088186,class_1
3.842993,0.095362,class_1
-1.686248,0.461196,class_1
-4.714234,4.175019,class_1
-7.784924,4.089714,class_1
-7.896886,4.041398,class_1
-7.79483,4.034829,class_1
-7.964846,3.895879,class_1
-2.346512,0.116148,class_2
0.791857,0.41216,class_2
3.65676,0.252228,class_2
-2.057178,0.427267,class_2
-1.716107,0.446643,class_2
-3.327358,0.353794,class_2
-3.95436,0.185149,class_1
-7.800315,0.194928,class_1
-7.586116,0.194522,class_1
-6.064335,0.270956,class_1
-0.415578,0.08983,class_1
3.253882,0.126842,class_1
-1.874692,0.179391,class_3
-0.845091,1.739182,class_3
-0.404563,1.824395,class_3
-0.564237,1.827953,class_3
-0.525494,2.053665,class_3
-0.712673,1.758896,class_3
1.364107,0.087539,class_3
0.618163,0.123737,class_3
0.696586,0.145243,class_3
2.432876,0.119696,class_3
2.669036,0.115296,class_3
-4.250897,0.100439,class_1
4.320766,0.298907,class_1
2.657347,0.188207,class_1
4.417029,0.15962,class_1
3.692469,0.081743,class_1
4.659656,0.153417,class_1
-7.505741,0.196666,class_1
-7.724249,2.138586,class_1
-7.867442,2.135107,class_1
-2.830514,2.153272,class_1
-1.40857,2.333838,class_1
-1.332601,2.344037,class_1
0.084747,0.078124,class_1
0.082491,0.071917,class_1
0.108823,0.076913,class_1
0.122701,0.076417,class_1
0.138662,0.073893,class_1
0.153481,0.066742,class_1
-5.517242,1.145538,class_1
-4.350126,2.632797,class_1
-4.714973,3.471644,class_1
-4.499068,3.881648,class_1
-4.775331,3.999992,class_1
-5.071471,3.819296,class_1
2.180876,0.863142,class_2
1.167628,0.689566,class_2
3.146804,1.068659,class_2
2.85525,0.757012,class_2
3.963079,0.770859,class_2
4.408922,0.891815,class_2
-0.834152,0.177841,class_1
-1.188981,0.139031,class_1
-1.128944,0.149493,class_1
-1.702724,0.121675,class_1
-0.41191,0.062236,class_1
-0.968302,0.074363,class_1
-1.341156,0.946773,class_1
-1.335062,0.881061,class_1
-2.061164,0.728828,class_1
-1.569475,0.569372,class_1
-0.838373,0.361166,class_1
-2.380283,0.853515,class_1
8.514045,2.558954,class_3
8.28966,1.717617,class_3
8.202602,1.913798,class_3
8.516858,1.968362,class_3
8.528676,2.025521,class_3
8.487918,1.742077,class_3
9.530312,3.270608,class_3
9.446376,3.435773,class_3
9.352525,3.320393,class_3
9.073603,2.883801,class_3
9.118118,2.994794,class_3
9.057203,3.064543,class_3
8.832911,1.592634,class_3
8.771351,1.724348,class_3
9.041978,1.731101,class_3
8.757996,1.554124,class_3
8.744356,1.730272,class_3
8.820054,1.788965,class_3
